,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,30.958122634887694,1.0345612721323592,0.1500929355621338,0.005934738372611877,0.015625,{'C': 0.015625},0.6799,0.678725,0.6766,0.674425,0.676925,0.6773149999999999,0.001880731240767778,13
1,37.380862379074095,0.9027514810566691,0.14794182777404785,0.005060650090761953,0.03125,{'C': 0.03125},0.687375,0.687925,0.683975,0.6834,0.685575,0.6856500000000001,0.0017902513789968078,12
2,43.7163643360138,2.152051333883186,0.15321030616760253,0.0047603177113878835,0.0625,{'C': 0.0625},0.694625,0.696025,0.69175,0.6926,0.693175,0.693635,0.0015184366960792428,11
3,56.91724915504456,4.4359370482188565,0.15470781326293945,0.0041145458610034906,0.125,{'C': 0.125},0.700525,0.7042,0.69885,0.701225,0.700575,0.701075,0.0017487852927103732,10
4,70.44691052436829,1.6331929812691008,0.15186710357666017,0.00256797832790166,0.25,{'C': 0.25},0.707575,0.7113,0.70735,0.7091,0.7085,0.7087649999999999,0.001416121463717021,9
5,79.46277666091919,1.927594604264981,0.14994473457336427,0.006514226883906188,0.5,{'C': 0.5},0.714075,0.71755,0.715025,0.714675,0.71505,0.7152749999999999,0.0011906930754816815,8
6,81.63887033462524,1.4204763307289077,0.14236078262329102,0.0033870851829410037,1,{'C': 1},0.72025,0.72225,0.719375,0.72,0.720575,0.7204900000000001,0.0009639242708843772,7
7,96.35398182868957,6.054482087242255,0.12575435638427734,0.022392066508036882,2,{'C': 2},0.723625,0.726175,0.7223,0.7245,0.724275,0.724175,0.00125966265325284,6
8,105.28836116790771,8.722732715257715,0.1077265739440918,0.024381885916270933,4,{'C': 4},0.725825,0.72795,0.725225,0.726725,0.7267,0.726485,0.0009244728227481704,5
9,105.80988659858704,5.201010443912239,0.08027811050415039,0.014845041166531217,8,{'C': 8},0.7273,0.728475,0.726025,0.72815,0.7274,0.72747,0.0008478502226218779,4
10,99.92331180572509,3.7171245539601347,0.04296422004699707,0.012996849675415971,16,{'C': 16},0.72715,0.72905,0.726275,0.728175,0.728275,0.7277850000000001,0.0009670315403336121,2
11,92.07485795021057,2.6243857479496264,0.03799433708190918,0.01310415295341989,32,{'C': 32},0.7269,0.72905,0.72655,0.7278,0.7285,0.7277600000000001,0.0009398936110007278,3
12,81.33420987129212,9.488170848987679,0.03676772117614746,0.013723612245452425,64,{'C': 64},0.727075,0.72915,0.726925,0.727725,0.728575,0.72789,0.0008578461400507391,1
