,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,27.510475444793702,2.3453241418704454,0.06287188529968261,0.007896975437215919,0.125,{'C': 0.125},0.700525,0.7042,0.69885,0.701225,0.700575,0.701075,0.0017487852927103732,3
1,35.613563776016235,1.2629035563679565,0.042014551162719724,0.00544325817324872,1,{'C': 1},0.72025,0.72225,0.719375,0.72,0.720575,0.7204900000000001,0.0009639242708843772,2
2,41.19457144737244,0.853525020229874,0.027281475067138673,0.0036279499408139663,8,{'C': 8},0.7273,0.728475,0.726025,0.72815,0.7274,0.72747,0.0008478502226218779,1
